predictions,actuals,location
of,of,data/words/l07/l07-052/l07-052-02-06.png
grim,grim,data/words/r06/r06-053/r06-053-00-01.png
of,of,data/words/g06/g06-031f/g06-031f-02-11.png
exchange,exchange,data/words/j04/j04-094/j04-094-05-00.png
raised,roused,data/words/p06/p06-248/p06-248-01-06.png
pointed,printed,data/words/d01/d01-056/d01-056-03-00.png
of,of,data/words/a04/a04-059/a04-059-05-06.png
and,and,data/words/m04/m04-093/m04-093-02-03.png
the,the,data/words/a04/a04-039/a04-039-09-00.png
to,to,data/words/c03/c03-007b/c03-007b-05-07.png
.,.,data/words/l04/l04-106/l04-106-04-03.png
be,be,data/words/a04/a04-031/a04-031-04-06.png
fouple,favourable,data/words/g06/g06-011f/g06-011f-06-05.png
lavish,lavish,data/words/c03/c03-094c/c03-094c-08-00.png
blood,block,data/words/m04/m04-251/m04-251-01-06.png
I,I,data/words/m01/m01-000/m01-000-05-02.png
",",",",data/words/d05/d05-030/d05-030-07-04.png
stimvation,situation,data/words/a04/a04-019/a04-019-05-00.png
of,of,data/words/n06/n06-182/n06-182-00-02.png
more,more,data/words/m04/m04-072/m04-072-02-08.png
make,make,data/words/l04/l04-159/l04-159-03-08.png
Lemuss,Census,data/words/h01/h01-007/h01-007-00-05.png
human,woman,data/words/f04/f04-071/f04-071-01-04.png
personal,personal,data/words/m02/m02-102/m02-102-05-04.png
mamboth,mammoth,data/words/f07/f07-019b/f07-019b-02-00.png
",",",",data/words/c06/c06-100/c06-100-04-07.png
",",",",data/words/c03/c03-096e/c03-096e-06-03.png
for,you,data/words/l04/l04-118/l04-118-02-03.png
waste,waste,data/words/k07/k07-185/k07-185-05-04.png
A,A,data/words/b01/b01-113/b01-113-04-03.png
even,Even,data/words/b03/b03-109/b03-109-04-00.png
probably,probably,data/words/a05/a05-017/a05-017-09-02.png
was,was,data/words/r06/r06-035/r06-035-04-03.png
people,peoples,data/words/f07/f07-046a/f07-046a-03-00.png
a,a,data/words/l07/l07-187/l07-187-07-03.png
it,it,data/words/g06/g06-011o/g06-011o-01-09.png
fine,fine,data/words/g06/g06-011k/g06-011k-10-01.png
contment,comment,data/words/d07/d07-085/d07-085-07-02.png
for,her,data/words/c03/c03-021b/c03-021b-04-08.png
the,the,data/words/l04/l04-118/l04-118-06-06.png
prish,priest,data/words/g06/g06-011o/g06-011o-07-05.png
lead,load,data/words/g07/g07-018a/g07-018a-02-08.png
quickly,quickly,data/words/p02/p02-101/p02-101-06-05.png
electric,energetic,data/words/g06/g06-050c/g06-050c-04-07.png
their,their,data/words/b05/b05-083/b05-083-07-01.png
.,.,data/words/g06/g06-050r/g06-050r-03-01.png
is,is,data/words/e06/e06-006/e06-006-04-02.png
a,a,data/words/j06/j06-018/j06-018-07-05.png
he,he,data/words/g06/g06-011f/g06-011f-03-10.png
All,All,data/words/h07/h07-040b/h07-040b-00-00.png
a,a,data/words/p02/p02-076/p02-076-06-06.png
example,example,data/words/f01/f01-081/f01-081-02-03.png
ensure,ensure,data/words/h02/h02-022/h02-022-01-09.png
told,told,data/words/a01/a01-113/a01-113-00-01.png
:,:,data/words/g07/g07-084/g07-084-04-05.png
had,had,data/words/g07/g07-026b/g07-026b-00-01.png
Hculemann,Herculaneum,data/words/d01/d01-104/d01-104-04-01.png
such,such,data/words/m02/m02-052/m02-052-04-05.png
Bunreb,Brussels,data/words/a03/a03-080/a03-080-01-06.png
different,different,data/words/g04/g04-022/g04-022-02-05.png
.,.,data/words/l07/l07-176/l07-176-02-05.png
is,is,data/words/g06/g06-093/g06-093-00-02.png
looked,looked,data/words/p03/p03-072/p03-072-06-00.png
be,be,data/words/g06/g06-031f/g06-031f-02-00.png
tradition,tradition,data/words/b01/b01-049/b01-049-01-03.png
gentleress,gentleness,data/words/k04/k04-068/k04-068-00-02.png
to,to,data/words/m06/m06-098/m06-098-05-07.png
years,years,data/words/g06/g06-037r/g06-037r-08-03.png
end,And,data/words/n02/n02-154/n02-154-00-00.png
Sir,Sir,data/words/g06/g06-047e/g06-047e-00-07.png
skilled,skilled,data/words/c01/c01-009/c01-009-09-03.png
had,had,data/words/g06/g06-047d/g06-047d-03-00.png
remedies,remedies,data/words/g06/g06-037k/g06-037k-06-04.png
him,him,data/words/g07/g07-026a/g07-026a-09-04.png
around,around,data/words/r06/r06-011/r06-011-05-03.png
off,stiff,data/words/r02/r02-065/r02-065-02-05.png
The,The,data/words/d03/d03-112/d03-112-02-00.png
here,here,data/words/n06/n06-074/n06-074-04-14.png
inorneying,informing,data/words/r06/r06-044/r06-044-10-00.png
that,that,data/words/a01/a01-132/a01-132-08-05.png
London,London,data/words/a01/a01-026u/a01-026u-04-03.png
unpliantly,impatiently,data/words/n02/n02-151/n02-151-07-05.png
a,a,data/words/b06/b06-068/b06-068-07-01.png
.,.,data/words/n06/n06-128/n06-128-04-07.png
Samuel,Samuel,data/words/g06/g06-045h/g06-045h-07-01.png
.,.,data/words/m01/m01-115/m01-115-05-07.png
in,in,data/words/h07/h07-003/h07-003-09-02.png
I,I,data/words/n06/n06-182/n06-182-06-03.png
insistering,insisting,data/words/a01/a01-011x/a01-011x-08-03.png
was,was,data/words/r06/r06-106/r06-106-04-06.png
evens,erences,data/words/j06/j06-034/j06-034-09-00.png
1959,1959,data/words/h04/h04-007/h04-007-05-03.png
and,are,data/words/m04/m04-093/m04-093-07-03.png
was,was,data/words/c06/c06-116/c06-116-06-07.png
to,to,data/words/g03/g03-064/g03-064-05-01.png
can,can,data/words/b06/b06-075/b06-075-06-03.png
Mr.,Mr.,data/words/m04/m04-113/m04-113-03-07.png
likeed,liked,data/words/c04/c04-056/c04-056-06-05.png
on,on,data/words/n06/n06-140/n06-140-07-03.png
per,per,data/words/a03/a03-040/a03-040-03-05.png
a,a,data/words/j06/j06-005/j06-005-09-03.png
tuth,truth,data/words/p06/p06-069/p06-069-00-03.png
you,you,data/words/l07/l07-103/l07-103-05-10.png
the,the,data/words/n06/n06-111/n06-111-04-04.png
pear,no,data/words/g01/g01-088/g01-088-08-01.png
mades,roads,data/words/r06/r06-090/r06-090-03-06.png
be,be,data/words/e04/e04-132/e04-132-02-01.png
",",",",data/words/b03/b03-098/b03-098-03-05.png
yesterday,yesterday,data/words/g06/g06-037l/g06-037l-02-06.png
fish,fish,data/words/e06/e06-049/e06-049-03-05.png
gentle,gentle,data/words/g06/g06-050f/g06-050f-03-09.png
",",",",data/words/g06/g06-115/g06-115-01-01.png
are,are,data/words/h07/h07-066a/h07-066a-01-04.png
has,hours,data/words/a06/a06-147/a06-147-03-10.png
made,made,data/words/d05/d05-040/d05-040-01-01.png
back,face,data/words/l04/l04-102/l04-102-01-02.png
",",",",data/words/g06/g06-011e/g06-011e-07-09.png
.,.,data/words/a01/a01-077/a01-077-06-04.png
Knew,knew,data/words/p02/p02-144/p02-144-10-00.png
the,the,data/words/c03/c03-087a/c03-087a-06-09.png
solo,solo,data/words/g04/g04-032/g04-032-03-03.png
as,as,data/words/j06/j06-056/j06-056-01-02.png
"""","""",data/words/p02/p02-022/p02-022-01-10.png
which,which,data/words/g01/g01-019/g01-019-06-06.png
dangle,dangled,data/words/c04/c04-004/c04-004-07-02.png
.,.,data/words/f04/f04-083/f04-083-05-11.png
with,with,data/words/d06/d06-107/d06-107-08-01.png
to,to,data/words/m04/m04-209/m04-209-05-01.png
a,a,data/words/b05/b05-098/b05-098-06-02.png
colour,colour,data/words/k07/k07-122/k07-122-00-03.png
and,and,data/words/c04/c04-116/c04-116-01-15.png
"""","""",data/words/l07/l07-074/l07-074-05-02.png
Maxallow,Harlow,data/words/h07/h07-063b/h07-063b-07-07.png
leaching,leading,data/words/a06/a06-025/a06-025-00-06.png
",","""""",data/words/r02/r02-131/r02-131-04-10.png
those,nose,data/words/l01/l01-195/l01-195-02-01.png
1,1/4,data/words/e04/e04-109/e04-109-04-01.png
members,member,data/words/a04/a04-050/a04-050-00-05.png
we,we,data/words/g04/g04-055/g04-055-05-07.png
of,of,data/words/h07/h07-037/h07-037-03-02.png
when,when,data/words/f04/f04-011/f04-011-03-07.png
"""","""",data/words/c01/c01-009/c01-009-04-01.png
nase,nose,data/words/c04/c04-075/c04-075-04-06.png
been,been,data/words/f04/f04-046/f04-046-03-02.png
the,the,data/words/h07/h07-013/h07-013-06-07.png
occursed,occurred,data/words/f04/f04-057/f04-057-00-04.png
for,for,data/words/n04/n04-031/n04-031-01-04.png
through,through,data/words/l03/l03-004/l03-004-08-06.png
from,from,data/words/n03/n03-082/n03-082-02-03.png
night,night,data/words/l04/l04-174/l04-174-05-04.png
at,at,data/words/a06/a06-036/a06-036-03-07.png
open,ages,data/words/m01/m01-060/m01-060-04-03.png
by,by,data/words/c01/c01-009/c01-009-00-02.png
from,from,data/words/d06/d06-015/d06-015-00-09.png
of,of,data/words/e01/e01-107/e01-107-01-01.png
idea,idea,data/words/d06/d06-011/d06-011-02-04.png
door,door,data/words/p02/p02-109/p02-109-03-09.png
",",",",data/words/a03/a03-006/a03-006-05-04.png
strain,Plain,data/words/n01/n01-031/n01-031-03-00.png
a,a,data/words/m04/m04-024/m04-024-02-03.png
Arthur,Arthur,data/words/g06/g06-018f/g06-018f-02-12.png
the,the,data/words/g06/g06-045k/g06-045k-02-03.png
not,not,data/words/l07/l07-080/l07-080-08-03.png
the,the,data/words/m01/m01-049/m01-049-01-03.png
want,want,data/words/k02/k02-076/k02-076-04-05.png
",","""""",data/words/g06/g06-047k/g06-047k-02-02.png
their,their,data/words/e07/e07-086/e07-086-06-05.png
to,to,data/words/a05/a05-000/a05-000-01-07.png
it,it,data/words/m04/m04-209/m04-209-01-11.png
and,and,data/words/h04/h04-021/h04-021-01-08.png
under,under,data/words/h02/h02-017/h02-017-04-01.png
who,who,data/words/b01/b01-057/b01-057-02-01.png
",",",",data/words/r06/r06-007/r06-007-04-04.png
Contlesary,Courtenay,data/words/c04/c04-144/c04-144-03-05.png
The,The,data/words/f01/f01-053/f01-053-04-00.png
of,of,data/words/r06/r06-022/r06-022-04-02.png
a,a,data/words/g06/g06-050l/g06-050l-04-07.png
.,.,data/words/g06/g06-045f/g06-045f-05-02.png
move,moment,data/words/a05/a05-029/a05-029-05-00.png
you,you,data/words/k07/k07-166/k07-166-02-05.png
in,an,data/words/g06/g06-037n/g06-037n-02-08.png
",",",",data/words/j06/j06-026/j06-026-08-02.png
seemed,seemed,data/words/a01/a01-122u/a01-122u-09-02.png
reply,vely,data/words/g01/g01-045/g01-045-09-00.png
easually,casually,data/words/n02/n02-000/n02-000-06-05.png
In,I,data/words/r03/r03-084/r03-084-00-00.png
for,for,data/words/g07/g07-069a/g07-069a-07-04.png
he,he,data/words/g06/g06-026e/g06-026e-03-03.png
I,I,data/words/k02/k02-053/k02-053-04-10.png
adenture,adventure,data/words/d06/d06-091/d06-091-09-02.png
of,of,data/words/l04/l04-113/l04-113-03-01.png
variety,variety,data/words/e01/e01-062/e01-062-02-07.png
"""havet""","""havent""",data/words/c04/c04-004/c04-004-04-04.png
that,that,data/words/n02/n02-062/n02-062-01-06.png
",",",",data/words/f07/f07-101a/f07-101a-00-07.png
the,the,data/words/g06/g06-031c/g06-031c-03-07.png
Common,Common,data/words/a06/a06-114/a06-114-00-04.png
oting,string,data/words/n03/n03-126/n03-126-00-08.png
all,all,data/words/b01/b01-094/b01-094-08-04.png
!,!,data/words/g06/g06-031o/g06-031o-00-05.png
place,place,data/words/g06/g06-018f/g06-018f-03-00.png
),),data/words/e07/e07-007/e07-007-04-01.png
consmitted,consulted,data/words/g06/g06-047b/g06-047b-07-02.png
.,.,data/words/f01/f01-147/f01-147-04-07.png
recently,urgently,data/words/g04/g04-063/g04-063-02-03.png
with,with,data/words/b06/b06-049/b06-049-07-03.png
like,like,data/words/f04/f04-093/f04-093-07-00.png
chappler,chapter,data/words/g06/g06-037g/g06-037g-03-10.png
a,a,data/words/c03/c03-081b/c03-081b-08-03.png
we,we,data/words/g04/g04-068/g04-068-02-05.png
exress,express,data/words/g06/g06-037e/g06-037e-02-01.png
",",",",data/words/e07/e07-101/e07-101-04-04.png
has,has,data/words/b04/b04-187/b04-187-05-03.png
changes,changes,data/words/d01/d01-049/d01-049-05-03.png
best,best,data/words/g06/g06-026r/g06-026r-01-05.png
girl,girl,data/words/l04/l04-043/l04-043-03-06.png
a,a,data/words/d06/d06-100/d06-100-01-01.png
single,simple,data/words/e01/e01-062/e01-062-05-01.png
to,to,data/words/n02/n02-028/n02-028-06-04.png
letter,Potter,data/words/c04/c04-150/c04-150-06-04.png
technical,technical,data/words/h07/h07-003/h07-003-08-08.png
exrieved,experienced,data/words/h07/h07-030a/h07-030a-02-06.png
Her,Her,data/words/k04/k04-068/k04-068-00-00.png
a,a,data/words/c03/c03-081d/c03-081d-04-00.png
fact,fact,data/words/f07/f07-076a/f07-076a-06-03.png
prementing,preventing,data/words/a04/a04-103/a04-103-06-01.png
is,is,data/words/m01/m01-084/m01-084-06-05.png
proress,progress,data/words/a04/a04-019/a04-019-02-04.png
simlicing,sinking,data/words/c02/c02-035/c02-035-04-04.png
the,the,data/words/g06/g06-045m/g06-045m-01-02.png
which,which,data/words/f04/f04-079/f04-079-01-08.png
danger,dangerous,data/words/h06/h06-000/h06-000-01-00.png
a,a,data/words/p06/p06-248/p06-248-02-09.png
The,The,data/words/m02/m02-090/m02-090-00-00.png
but,but,data/words/e02/e02-086/e02-086-07-04.png
.,.,data/words/b04/b04-195/b04-195-00-09.png
was,was,data/words/l03/l03-000/l03-000-02-01.png
does,does,data/words/e07/e07-003/e07-003-01-00.png
their,their,data/words/f07/f07-028a/f07-028a-06-07.png
their,their,data/words/a02/a02-111/a02-111-02-01.png
particular,particular,data/words/n01/n01-031/n01-031-06-00.png
indlegance,intelligence,data/words/c03/c03-081a/c03-081a-09-01.png
banll,bomb,data/words/a05/a05-125/a05-125-01-00.png
appocation,application,data/words/a06/a06-075/a06-075-03-05.png
with,with,data/words/a04/a04-059/a04-059-02-01.png
the,the,data/words/a03/a03-034/a03-034-06-06.png
in,in,data/words/g06/g06-047i/g06-047i-06-02.png
that,that,data/words/l01/l01-095/l01-095-00-06.png
Weuv,Vesuvius,data/words/g06/g06-011c/g06-011c-04-02.png
the,the,data/words/e01/e01-062/e01-062-04-08.png
introduved,introduced,data/words/h07/h07-037a/h07-037a-05-04.png
the,the,data/words/n04/n04-213/n04-213-04-02.png
house,house,data/words/h07/h07-075/h07-075-05-02.png
early,early,data/words/a03/a03-054/a03-054-03-06.png
reunderer,remainder,data/words/g06/g06-096/g06-096-03-01.png
to,to,data/words/m02/m02-106/m02-106-03-07.png
first,final,data/words/a05/a05-073/a05-073-06-00.png
planned,passed,data/words/m04/m04-113/m04-113-02-04.png
to,to,data/words/a01/a01-058u/a01-058u-01-05.png
the,the,data/words/a04/a04-099/a04-099-01-01.png
what,what,data/words/m02/m02-090/m02-090-06-01.png
by,by,data/words/a01/a01-128u/a01-128u-10-03.png
",",",",data/words/m03/m03-118/m03-118-04-02.png
wving,waving,data/words/m04/m04-180/m04-180-00-07.png
of,of,data/words/d06/d06-050/d06-050-01-07.png
seems,seems,data/words/g06/g06-011m/g06-011m-04-03.png
in,in,data/words/g07/g07-014b/g07-014b-03-06.png
the,the,data/words/a06/a06-057/a06-057-01-04.png
fame,frame,data/words/d06/d06-076/d06-076-00-03.png
much,much,data/words/k02/k02-117/k02-117-01-03.png
relhet,relief,data/words/m01/m01-160/m01-160-05-05.png
of,of,data/words/c03/c03-007f/c03-007f-00-03.png
what,what,data/words/n04/n04-084/n04-084-04-08.png
people,people,data/words/g04/g04-014/g04-014-05-05.png
the,the,data/words/g07/g07-038/g07-038-09-00.png
the,THE,data/words/a01/a01-007x/a01-007x-04-07.png
knowit,Kuwait,data/words/a05/a05-069/a05-069-09-04.png
and,and,data/words/a01/a01-096u/a01-096u-06-05.png
still,still,data/words/p02/p02-139/p02-139-04-09.png
bring,bringing,data/words/h01/h01-027/h01-027-02-06.png
in,in,data/words/m01/m01-090/m01-090-02-00.png
pals,pals,data/words/n02/n02-049/n02-049-05-02.png
",",",",data/words/c06/c06-111/c06-111-00-08.png
time,time,data/words/m02/m02-069/m02-069-01-01.png
built,built,data/words/h01/h01-018/h01-018-01-06.png
Kennn,Kenneth,data/words/a02/a02-078/a02-078-01-07.png
and,and,data/words/d04/d04-117/d04-117-06-11.png
monits,manifest,data/words/g01/g01-083/g01-083-05-10.png
values,values,data/words/h07/h07-060b/h07-060b-09-00.png
at,at,data/words/m04/m04-078/m04-078-07-01.png
Capteared,captured,data/words/g01/g01-000/g01-000-07-03.png
probably,probably,data/words/e07/e07-094/e07-094-00-03.png
",",",",data/words/g06/g06-042d/g06-042d-02-04.png
canned,canned,data/words/h04/h04-055/h04-055-07-07.png
trans,Army,data/words/a05/a05-025/a05-025-00-02.png
woney,money,data/words/l04/l04-043/l04-043-01-04.png
by,by,data/words/c03/c03-021e/c03-021e-03-00.png
"""Hombhouses""","""Hobhouses""",data/words/g07/g07-065/g07-065-01-07.png
was,was,data/words/d01/d01-118/d01-118-00-05.png
this,HIS,data/words/f07/f07-101a/f07-101a-06-04.png
not,not,data/words/a04/a04-050/a04-050-03-07.png
fotherers,Feathers,data/words/f04/f04-074/f04-074-03-01.png
do,do,data/words/d06/d06-020/d06-020-07-04.png
",",",",data/words/l04/l04-034/l04-034-07-10.png
food,food,data/words/m04/m04-216/m04-216-06-03.png
N,"""Ns""",data/words/r06/r06-097/r06-097-09-01.png
lired,likelihood,data/words/f04/f04-028/f04-028-06-02.png
.,.,data/words/l04/l04-174/l04-174-05-08.png
cullike,Unlike,data/words/e04/e04-000/e04-000-01-05.png
good,good,data/words/e06/e06-026/e06-026-04-05.png
ins,us,data/words/f01/f01-058/f01-058-09-01.png
in,in,data/words/l04/l04-174/l04-174-02-08.png
had,had,data/words/g06/g06-031p/g06-031p-05-08.png
her,her,data/words/r06/r06-130/r06-130-03-01.png
kind,kind,data/words/l01/l01-023/l01-023-03-00.png
Doc,Dee,data/words/c06/c06-100/c06-100-04-06.png
letter,letter,data/words/g06/g06-026o/g06-026o-04-05.png
so,"""",data/words/l07/l07-085/l07-085-01-03.png
"""""","""",data/words/a01/a01-030/a01-030-02-12.png
is,is,data/words/a05/a05-022/a05-022-03-08.png
",","""""",data/words/l04/l04-179/l04-179-05-11.png
",",",",data/words/g07/g07-044/g07-044-09-06.png
fear,fear,data/words/g06/g06-031m/g06-031m-03-04.png
as,as,data/words/c06/c06-095/c06-095-03-02.png
done,dance,data/words/p02/p02-135/p02-135-00-04.png
"""","""",data/words/p02/p02-109/p02-109-06-09.png
his,his,data/words/g06/g06-042d/g06-042d-04-07.png
Long,long,data/words/a02/a02-078/a02-078-08-02.png
his,his,data/words/a02/a02-012/a02-012-04-00.png
are,are,data/words/p02/p02-139/p02-139-00-05.png
ference,Revenue,data/words/h07/h07-066b/h07-066b-01-04.png
upon,upon,data/words/p01/p01-147/p01-147-05-03.png
the,He,data/words/a05/a05-073/a05-073-00-00.png
",",",",data/words/e07/e07-061/e07-061-07-06.png
joyged,jogged,data/words/r02/r02-038/r02-038-02-10.png
asress,assesses,data/words/k04/k04-064/k04-064-02-07.png
cent,cent,data/words/h07/h07-003/h07-003-01-06.png
loveate,locate,data/words/a04/a04-059/a04-059-00-08.png
(,(,data/words/b01/b01-094/b01-094-05-06.png
big,big,data/words/n06/n06-123/n06-123-05-05.png
for,for,data/words/a01/a01-026u/a01-026u-10-02.png
streears,screams,data/words/l01/l01-179/l01-179-05-04.png
fown-,growing,data/words/g04/g04-014/g04-014-03-02.png
though,tough,data/words/a01/a01-077u/a01-077u-01-07.png
.,.,data/words/g06/g06-018g/g06-018g-06-06.png
1.,1.4,data/words/h07/h07-069/h07-069-01-05.png
-,...,data/words/m01/m01-000/m01-000-05-07.png
mother,mother,data/words/d06/d06-041/d06-041-04-01.png
to,to,data/words/g06/g06-050m/g06-050m-08-06.png
seen,seen,data/words/c03/c03-081f/c03-081f-04-05.png
to,to,data/words/a02/a02-027/a02-027-06-04.png
Tuesday,Tuesday,data/words/d06/d06-104/d06-104-04-05.png
at,at,data/words/e06/e06-037/e06-037-03-00.png
h,rapidly,data/words/k04/k04-115/k04-115-03-00.png
the,the,data/words/h02/h02-008/h02-008-03-06.png
a,a,data/words/m01/m01-084/m01-084-03-06.png
the,the,data/words/a06/a06-128/a06-128-02-03.png
whs,whys,data/words/n02/n02-054/n02-054-01-04.png
found,round,data/words/p01/p01-147/p01-147-00-05.png
then,then,data/words/n04/n04-218/n04-218-01-04.png
",",",",data/words/p06/p06-047/p06-047-08-06.png
"""""",!,data/words/b04/b04-010/b04-010-08-01.png
of,of,data/words/e01/e01-113/e01-113-07-03.png
given,given,data/words/a04/a04-081/a04-081-02-06.png
make,make,data/words/b01/b01-023/b01-023-05-06.png
"""woms""","""womans""",data/words/f04/f04-011/f04-011-04-05.png
do,do,data/words/a01/a01-014u/a01-014u-04-00.png
smable,Annabella,data/words/g07/g07-084/g07-084-04-08.png
arrranged,arranged,data/words/f02/f02-020/f02-020-04-02.png
",",",",data/words/c02/c02-007/c02-007-05-03.png
"""ll""","""ll""",data/words/n04/n04-149/n04-149-04-07.png
all,all,data/words/m01/m01-115/m01-115-07-03.png
.,.,data/words/c04/c04-050/c04-050-02-03.png
in,in,data/words/r06/r06-062/r06-062-02-03.png
in.,in.,data/words/e04/e04-011/e04-011-02-06.png
Rememberler,Remember,data/words/e01/e01-102/e01-102-00-00.png
an,"""an""",data/words/n02/n02-157/n02-157-08-02.png
public-ation,publication,data/words/g07/g07-069a/g07-069a-04-00.png
me,me,data/words/g06/g06-018g/g06-018g-04-05.png
sought,sought,data/words/h07/h07-030/h07-030-01-01.png
October,October,data/words/b05/b05-074/b05-074-06-05.png
author,author,data/words/j01/j01-066/j01-066-07-05.png
has,has,data/words/b06/b06-019/b06-019-00-02.png
underdeveloped,underdeveloped,data/words/a04/a04-015/a04-015-07-03.png
that,that,data/words/f07/f07-002/f07-002-01-03.png
daching,charming,data/words/g06/g06-050j/g06-050j-05-05.png
are,are,data/words/a01/a01-020u/a01-020u-06-04.png
off,off,data/words/p03/p03-029/p03-029-04-03.png
need,need,data/words/c03/c03-021f/c03-021f-06-08.png
fear,Pearl,data/words/g06/g06-011c/g06-011c-03-02.png
ready-made,ready-made,data/words/e01/e01-029/e01-029-06-03.png
to,to,data/words/l04/l04-113/l04-113-01-10.png
"""""",a,data/words/l01/l01-195/l01-195-04-05.png
spper,surveyor,data/words/a01/a01-102u/a01-102u-06-08.png
results,result,data/words/c01/c01-014/c01-014-07-04.png
.,.,data/words/r06/r06-090/r06-090-08-06.png
of,of,data/words/j06/j06-056/j06-056-01-00.png
.,.,data/words/a01/a01-132/a01-132-06-04.png
like,line,data/words/f04/f04-024/f04-024-00-08.png
steverage,Stevenage,data/words/h07/h07-063a/h07-063a-08-05.png
is,is,data/words/g06/g06-011k/g06-011k-07-09.png
sole,sale,data/words/h02/h02-017/h02-017-02-06.png
heat,hear,data/words/f07/f07-021a/f07-021a-06-02.png
"""d""","""d""",data/words/n06/n06-156/n06-156-01-05.png
a,a,data/words/k07/k07-185/k07-185-10-05.png
to,to,data/words/c06/c06-014/c06-014-01-05.png
Phil,Phil,data/words/p03/p03-047/p03-047-04-03.png
When,When,data/words/g06/g06-018e/g06-018e-00-00.png
wrote,wrote,data/words/r06/r06-027/r06-027-06-07.png
could,count,data/words/r03/r03-035/r03-035-00-05.png
God,God,data/words/g06/g06-031m/g06-031m-07-06.png
on,on,data/words/f04/f04-011/f04-011-08-06.png
lavish,lavish,data/words/c03/c03-094f/c03-094f-09-01.png
would,would,data/words/g07/g07-028b/g07-028b-01-06.png
then,them,data/words/f03/f03-174/f03-174-03-09.png
too,too,data/words/a01/a01-113/a01-113-03-10.png
the,the,data/words/g04/g04-060/g04-060-06-03.png
a,?,data/words/m02/m02-095/m02-095-09-03.png
When,When,data/words/g03/g03-004/g03-004-00-00.png
on,on,data/words/k04/k04-110/k04-110-02-01.png
will,will,data/words/g06/g06-031l/g06-031l-05-10.png
between,between,data/words/a03/a03-050/a03-050-03-00.png
first,first,data/words/g06/g06-045a/g06-045a-00-06.png
England,England,data/words/c03/c03-007/c03-007-01-07.png
coickency,cockney,data/words/l04/l04-174/l04-174-03-06.png
make,make,data/words/n03/n03-091/n03-091-02-02.png
in,in,data/words/a01/a01-128u/a01-128u-02-05.png
famful,faithful,data/words/g04/g04-092/g04-092-02-03.png
to,to,data/words/g06/g06-018k/g06-018k-01-01.png
was,was,data/words/m04/m04-180/m04-180-05-07.png
drunk,drink,data/words/d04/d04-117/d04-117-07-00.png
the,the,data/words/e04/e04-103/e04-103-06-00.png
tracle,trade,data/words/b04/b04-181/b04-181-01-02.png
patterns,palms,data/words/l04/l04-000/l04-000-04-00.png
fine,fine,data/words/e01/e01-018/e01-018-03-00.png
",",1,data/words/a02/a02-124/a02-124-00-06.png
almost,amongst,data/words/g07/g07-014/g07-014-07-01.png
of,of,data/words/b04/b04-040/b04-040-04-08.png
",",",",data/words/c03/c03-007c/c03-007c-03-07.png
to,to,data/words/a04/a04-003/a04-003-03-01.png
column,column,data/words/h06/h06-092/h06-092-03-01.png
wand,wound,data/words/g02/g02-065/g02-065-03-04.png
